 ;1960;1961;1962;1963;1964;1965;1966;;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Colombia;257.0;280.6;296.9;281.0;336.7;315.2;288.6;;301.1;299.9;316.3;344.3;365.3;396.0;460.6;540.2;559.7;641.6;796.6;930.4;1,092.3;1,276.0;1,358.5;1,421.9;1,381.1;1,333.4;1,189.9;1,166.3;1,188.6;1,254.5;1,238.6;1,467.5;1,491.9;1,720.6;1,920.4;2,314.9;2,571.5;2,652.1;2,860.0;2,595.5;2,236.1;2,546.9;2,465.0;2,421.2;2,305.2;2,811.5;3,448.5;3,782.6;4,762.1;5,534.7;5,246.0;6,392.8;7,392.9;8,096.8;8,263.6;8,167.5;6,228.7;5,936.3;6,450.0;6,782.0;6,436.5;5,304.3;6,182.7;6,624.2;..
Comoros;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;646.4;580.9;530.2;538.1;505.1;523.7;723.2;850.4;873.6;813.8;996.5;958.9;1,009.7;977.5;674.1;823.7;801.3;721.6;717.3;726.5;654.2;691.0;761.9;959.2;1,090.4;1,103.2;1,155.1;1,289.8;1,454.7;1,409.1;1,384.1;1,526.8;1,484.0;1,596.0;1,608.7;1,322.9;1,357.3;1,414.6;1,531.3;1,510.8;1,519.6;1,577.5;1,484.9;..
Congo, Dem. Rep.;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;316.6;194.1;253.5;219.3;272.8;253.3;259.2;..;230.9;272.1;140.2;130.4;130.8;135.9;135.5;99.8;392.6;148.4;168.9;168.0;187.9;211.6;247.5;277.6;317.9;290.2;324.8;376.4;412.8;444.9;472.3;482.1;456.0;451.1;546.2;575.9;524.7;577.0;653.7;..
Congo, Rep.;124.8;140.0;149.7;150.7;158.1;164.3;177.6;;185.7;190.9;195.5;196.8;223.7;276.5;353.8;370.4;472.1;453.1;448.5;503.0;670.4;932.5;1,065.7;1,130.3;1,074.5;1,095.8;1,047.7;870.3;1,049.8;981.9;1,030.4;1,173.3;1,111.0;1,163.5;1,034.8;662.9;771.6;902.0;807.9;663.7;780.6;1,030.0;859.4;910.9;1,023.1;1,314.4;1,810.6;2,116.9;2,219.9;2,848.7;2,283.9;2,962.8;3,415.1;3,753.9;3,719.7;3,623.8;2,455.3;2,107.5;2,227.7;2,715.2;2,508.9;2,011.3;2,540.5;2,649.2;..
Costa Rica;377.0;351.2;331.1;341.6;349.9;370.0;391.2;;410.0;440.6;472.7;530.7;565.3;633.2;762.1;809.7;928.5;1,113.0;1,380.5;1,541.1;1,717.8;2,001.2;1,057.4;1,021.9;1,199.9;1,357.6;1,414.1;1,551.7;1,549.9;1,537.5;1,705.4;1,808.5;2,221.5;2,578.0;2,814.0;3,005.5;3,240.7;3,194.1;3,373.4;3,580.9;3,653.8;3,773.0;3,941.6;4,021.4;4,123.5;4,376.1;4,643.5;5,188.4;6,055.1;6,841.9;6,737.9;8,147.2;9,137.5;9,971.7;10,633.3;10,737.7;11,530.0;11,899.8;12,118.1;12,383.1;12,669.3;12,179.3;12,604.0;13,365.4;..
Cote d'Ivoire;147.3;160.7;161.4;183.1;213.1;204.7;219.2;;223.0;253.7;259.1;265.7;277.0;309.3;400.9;468.8;568.1;652.7;844.8;1,025.9;1,143.4;1,225.4;978.1;845.7;736.7;711.1;700.3;888.3;946.0;928.6;851.2;906.4;848.3;868.7;829.5;602.3;769.3;1,220.1;1,176.9;1,237.1;1,154.5;986.8;974.8;1,021.0;1,173.1;1,267.8;1,267.1;1,303.6;1,451.2;1,683.3;1,638.8;1,654.2;1,701.7;1,649.3;1,903.1;2,124.0;1,941.6;1,999.2;2,113.3;2,295.5;2,290.8;2,349.1;2,613.4;2,486.4;..
Croatia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4,930.3;5,298.9;5,330.3;5,711.5;5,267.5;4,952.4;5,364.0;6,219.5;8,192.3;9,723.4;10,446.4;11,505.4;13,762.5;15,898.8;14,421.2;13,693.5;14,655.9;13,439.7;13,979.2;14,001.2;12,098.5;12,579.9;13,592.3;15,040.0;15,120.9;14,269.9;17,809.0;18,570.4;..
Cuba;..;..;..;..;..;..;..;;..;..;..;641.9;766.1;887.2;1,074.2;1,211.7;1,369.2;1,436.3;1,468.7;1,834.0;2,003.6;2,030.0;2,046.0;2,114.6;2,223.9;2,388.3;2,258.4;2,366.9;2,441.6;2,633.8;2,567.0;2,695.6;2,269.6;2,048.1;2,063.2;2,613.0;2,784.9;2,282.0;2,306.4;2,332.5;2,562.3;2,752.2;2,844.2;3,007.2;3,205.7;3,403.3;3,791.9;4,336.9;4,814.9;4,992.8;5,094.4;5,275.5;6,106.0;6,467.3;6,814.2;7,117.5;7,683.7;8,055.9;8,543.3;8,831.9;9,139.4;9,499.6;..;..;..
Curacao;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;19,426.3;19,809.8;19,721.3;19,623.0;19,361.8;18,944.1;18,938.2;19,119.1;19,220.7;16,356.1;17,980.0;20,501.8;..
Cyprus;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;976.3;1,157.4;1,476.3;1,929.4;2,559.3;4,232.0;4,033.2;4,122.8;4,091.0;4,258.7;4,488.3;5,642.6;6,690.6;7,645.6;8,038.9;9,641.6;9,696.1;11,310.1;10,526.1;11,617.7;15,261.4;15,139.2;14,234.2;15,092.8;15,287.9;14,388.3;14,821.4;16,093.2;20,252.2;23,792.6;24,959.3;26,729.3;31,244.9;35,397.4;32,109.2;31,023.3;32,395.8;28,910.7;27,727.5;27,162.3;23,408.4;24,605.3;26,608.7;29,335.0;29,420.0;28,281.4;32,745.8;32,048.2;..
Czechia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,941.5;2,896.6;3,372.9;3,956.2;4,630.6;5,824.1;6,532.8;6,034.5;6,489.7;6,337.4;6,029.0;6,637.0;8,060.9;9,818.6;11,749.9;13,430.7;15,261.8;18,466.5;22,804.6;19,861.7;19,960.1;21,871.3;19,870.8;20,133.2;19,890.9;17,829.7;18,575.2;20,636.2;23,424.5;23,664.8;22,992.9;26,822.5;27,226.6;..
Denmark;..;..;..;..;..;..;2,487.1;;2,700.7;2,776.1;3,151.1;3,464.5;3,845.5;4,654.3;6,119.4;6,770.8;7,999.1;8,787.6;9,783.9;11,826.0;13,752.0;13,883.9;12,081.8;11,804.4;11,857.9;11,562.9;12,253.1;17,201.1;21,340.7;22,527.0;21,901.1;26,891.4;27,011.4;29,569.7;27,598.0;29,995.6;35,351.4;35,650.7;32,835.9;33,368.1;33,440.8;30,743.5;30,751.7;33,228.7;40,458.8;46,511.6;48,799.8;52,027.0;58,487.1;64,322.1;58,163.3;58,041.4;61,753.6;58,507.5;61,191.2;62,549.0;53,254.9;54,664.0;57,610.1;61,591.9;59,593.0;60,836.6;69,268.7;67,790.1;..
Djibouti;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;851.0;..;825.5;820.6;785.3;783.7;735.7;767.1;762.5;788.6;790.5;766.3;752.7;740.0;745.2;742.9;747.8;749.1;771.4;813.9;852.9;907.8;980.0;1,131.6;1,164.3;1,227.8;1,322.7;1,418.5;2,102.2;2,239.1;2,409.3;2,545.7;2,655.7;2,755.8;2,876.0;2,921.7;3,062.6;3,136.1;..
Dominica;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;635.9;788.2;756.1;997.6;1,125.8;1,232.7;1,365.2;1,517.4;1,669.0;1,897.9;2,144.8;2,430.6;2,645.8;2,899.1;3,178.5;3,386.7;3,549.7;3,820.5;3,967.0;4,225.9;4,386.0;4,676.8;4,829.2;4,879.1;4,991.8;4,881.1;5,016.1;5,354.8;5,304.1;5,677.1;6,126.8;6,661.5;7,110.0;7,182.4;7,288.5;7,054.9;7,240.7;7,502.1;7,724.0;8,223.0;7,408.1;7,833.2;8,561.6;7,003.5;7,668.2;8,351.2;..
Dominican Republic;203.9;191.9;234.0;258.8;273.3;229.6;246.8;;251.8;255.1;282.7;331.9;362.3;420.6;483.3;587.7;704.8;754.8;855.0;861.5;977.4;1,174.7;1,284.8;1,374.5;1,500.0;1,845.6;786.0;934.1;870.7;786.4;958.0;992.2;1,349.8;1,562.5;1,726.6;1,896.0;2,114.1;2,276.7;2,456.1;2,616.7;2,631.7;2,845.8;2,953.2;3,085.5;2,399.5;2,468.4;3,903.8;4,080.0;4,676.1;5,053.3;5,002.2;5,509.6;5,859.4;6,049.5;6,171.3;6,533.7;6,838.9;7,191.1;7,513.5;7,947.2;8,173.3;7,167.9;8,476.7;10,111.2;..
Ecuador;448.1;369.1;310.4;362.4;433.0;447.2;442.0;;451.3;443.2;519.0;463.8;433.7;487.6;579.1;954.9;1,088.1;1,244.7;1,468.9;1,545.8;1,789.2;2,197.9;2,611.3;2,324.8;1,950.1;1,874.4;1,853.1;1,613.7;1,433.3;1,309.1;1,360.5;1,458.3;1,589.8;1,657.9;1,701.2;2,001.2;2,113.3;2,142.3;2,349.2;2,293.7;1,582.8;1,451.5;1,904.8;2,184.2;2,438.3;2,703.6;3,014.3;3,340.8;3,579.0;4,260.4;4,240.7;4,640.2;5,202.7;5,678.5;6,050.4;6,374.6;6,130.6;6,079.1;6,246.4;6,321.3;6,233.3;5,645.2;5,965.1;6,391.3;..
Egypt, Arab Rep.;..;..;..;..;..;160.6;167.0;;173.0;178.7;191.9;231.2;242.1;256.0;272.0;243.3;300.0;335.8;354.9;356.3;422.7;495.3;493.0;600.0;653.9;697.9;780.5;802.2;765.6;644.2;712.9;751.2;637.9;697.7;758.8;826.7;937.5;1,031.5;1,170.8;1,239.4;1,297.6;1,398.9;1,327.1;1,144.5;1,056.9;1,016.3;1,133.1;1,332.3;1,586.5;1,941.9;2,212.2;2,509.8;2,645.6;3,059.1;3,088.9;3,196.9;3,370.4;3,331.6;2,440.0;2,531.2;3,017.3;3,571.6;3,886.7;4,295.4;..
El Salvador;..;..;..;..;..;276.1;284.6;;291.0;293.3;297.2;313.0;319.9;332.7;370.7;418.1;462.2;558.8;691.1;719.6;781.3;792.6;755.6;739.0;747.7;765.7;779.3;758.8;781.1;810.4;829.5;897.6;961.8;1,047.0;1,186.3;1,348.9;1,552.1;1,653.6;1,749.5;1,858.4;1,904.9;1,977.8;2,051.2;2,106.7;2,197.5;2,274.0;2,434.3;2,651.4;2,814.6;2,964.2;2,889.7;3,017.3;3,305.0;3,471.1;3,555.2;3,638.5;3,761.5;3,870.3;3,986.0;4,145.9;4,280.3;3,961.7;4,664.3;5,127.3;..
Equatorial Guinea;..;..;32.9;38.3;44.0;219.5;229.2;;234.5;214.1;210.8;209.3;208.2;214.3;272.4;324.1;368.2;375.6;383.2;..;..;179.3;123.7;140.3;132.0;140.6;164.2;192.3;225.1;232.9;196.8;240.8;229.6;268.7;261.5;186.7;253.0;399.0;730.4;588.6;948.2;1,527.1;2,031.4;2,395.8;3,146.5;5,337.6;9,502.9;11,140.2;13,776.9;19,849.7;14,398.8;14,905.5;18,659.4;18,756.4;17,644.6;16,804.9;9,789.0;8,035.3;8,410.4;8,719.2;7,317.4;6,198.9;7,406.1;7,182.3;..
Eritrea;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;248.3;236.1;260.3;267.9;306.3;299.6;321.0;292.4;295.2;305.6;286.3;328.0;401.4;387.9;420.5;450.4;459.2;602.1;505.0;643.8;..;..;..;..;..;..;..;..;..;..;..;..
Estonia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,134.4;3,380.9;3,683.0;4,093.4;4,140.9;4,070.6;4,505.9;5,341.6;7,203.5;8,914.1;10,412.6;12,639.4;16,744.6;18,205.0;14,711.7;14,663.0;17,487.8;17,403.2;19,056.0;20,261.1;17,402.0;18,295.3;20,437.8;23,165.8;23,424.5;23,595.2;27,943.7;28,247.1;..
Ethiopia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;204.5;207.1;224.1;206.5;235.3;237.6;245.7;245.1;248.4;254.3;269.6;201.7;164.2;124.6;133.3;144.0;140.3;123.8;118.3;123.0;119.3;110.5;117.9;134.5;160.1;191.8;240.3;320.9;373.9;335.4;348.0;458.6;490.8;557.5;630.3;705.6;755.8;758.3;840.4;918.7;925.0;1,027.6;..
Faroe Islands;..;..;..;..;..;1,594.5;1,748.7;;1,778.6;1,732.3;1,844.4;2,210.9;2,553.2;3,036.2;4,056.7;4,896.1;5,597.5;6,588.2;8,384.5;9,480.1;10,553.1;11,451.1;10,461.2;10,054.5;10,893.6;9,438.5;10,078.1;14,972.8;19,074.1;20,626.0;18,360.4;20,236.4;19,424.3;19,838.5;16,874.2;17,192.9;20,577.7;22,419.2;20,985.8;24,623.7;24,947.1;23,370.8;25,089.6;27,238.0;31,691.9;35,941.0;36,440.3;41,762.7;48,365.7;51,432.0;47,411.0;48,167.7;51,786.5;50,157.1;55,560.1;60,126.1;52,726.7;56,833.9;59,328.2;62,576.8;63,203.7;62,235.0;69,108.2;66,979.3;..
Fiji;279.5;282.2;287.4;293.3;307.6;313.6;312.2;;328.8;330.0;352.4;416.7;460.5;577.9;764.4;986.4;1,188.4;1,184.0;1,200.6;1,351.5;1,621.5;1,865.7;1,870.4;1,763.8;1,619.2;1,657.8;1,568.7;1,737.4;1,560.7;1,452.2;1,530.5;1,713.2;1,763.3;1,947.5;2,073.1;2,308.7;2,487.0;2,672.4;2,597.9;2,031.0;2,351.7;2,015.9;1,964.1;2,157.1;2,680.3;3,124.6;3,406.5;3,483.6;3,793.1;3,928.9;3,184.7;3,469.1;4,160.7;4,359.8;4,587.0;5,305.1;5,105.2;5,368.4;5,825.2;6,073.4;5,927.7;4,815.7;4,656.1;5,356.2;..
Finland;1,179.4;1,327.4;1,411.7;1,522.3;1,707.5;1,882.1;2,010.2;;2,034.2;1,907.1;2,178.0;2,465.6;2,716.2;3,177.6;4,173.2;5,297.6;6,255.5;6,739.7;7,069.1;7,628.8;9,332.2;11,223.9;10,926.8;10,938.1;10,497.5;10,833.9;11,398.1;14,951.0;18,571.1;22,047.8;23,973.2;28,364.6;25,484.7;22,319.1;17,608.8;20,301.3;26,271.6;25,783.5;24,691.9;26,009.3;26,186.2;24,345.9;24,967.8;26,997.8;32,927.7;37,772.2;39,054.9;41,222.6;48,476.4;53,772.8;47,481.5;46,505.3;51,148.9;47,708.1;49,892.2;50,327.2;42,801.9;43,814.0;46,412.1;49,987.6;48,629.9;49,169.7;53,504.7;50,871.9;..
France;1,333.9;1,430.4;1,585.7;1,758.9;1,929.0;2,060.3;2,209.0;;2,363.7;2,554.0;2,767.6;2,870.2;3,180.3;3,865.9;4,984.2;5,345.9;6,717.4;6,899.1;7,566.7;9,299.8;11,213.0;12,738.5;11,116.9;10,501.6;9,999.0;9,430.1;9,778.1;13,566.7;16,340.7;17,727.5;17,747.6;21,865.6;21,675.7;23,814.2;22,380.3;23,496.4;26,889.4;26,870.3;24,226.9;24,971.6;24,678.4;22,416.4;22,449.3;24,288.3;29,627.9;33,797.2;34,768.2;36,470.2;41,557.6;45,516.0;41,737.8;40,676.1;43,846.5;40,870.9;42,602.7;43,068.5;36,652.9;37,062.5;38,781.0;41,557.9;40,494.9;39,179.7;43,671.3;40,886.3;..
French Polynesia;..;..;..;..;..;1,789.1;2,108.5;;2,084.9;2,363.5;2,134.8;2,154.8;2,431.2;2,581.4;3,294.9;4,103.0;4,936.8;5,072.8;5,323.2;6,540.5;7,662.8;8,071.4;7,310.8;7,088.9;7,172.5;7,237.5;7,721.0;11,509.2;13,603.7;13,500.0;13,223.9;15,728.7;15,828.1;16,910.0;15,844.4;16,145.9;18,090.6;17,713.7;15,741.8;16,070.3;15,847.9;14,346.2;14,012.2;15,302.4;18,724.5;20,829.1;21,047.2;21,382.2;23,837.8;25,437.7;23,326.1;21,447.9;21,748.0;19,864.5;20,941.5;21,223.1;18,252.5;18,726.6;19,744.0;20,614.9;20,093.2;19,185.7;20,230.2;18,984.9;..
Gabon;275.6;322.8;347.7;290.1;399.5;413.6;442.4;;481.1;513.4;544.1;542.2;626.0;691.8;1,137.7;2,379.7;3,252.6;4,434.3;4,042.6;3,355.4;4,150.0;5,713.2;5,023.1;4,582.2;4,181.1;4,273.3;3,899.6;3,866.3;3,626.2;4,121.1;4,376.8;6,055.1;5,349.5;5,390.5;4,109.9;3,832.1;4,419.8;4,948.8;4,515.0;3,705.8;3,758.2;3,991.2;3,844.6;3,976.6;4,724.3;5,483.1;6,571.0;6,873.5;8,036.9;9,732.2;7,325.9;8,399.6;10,273.8;9,348.5;9,250.1;9,255.4;7,090.5;6,722.2;6,975.7;7,694.9;7,523.9;6,680.1;8,635.8;8,820.3;..
Gambia, The;..;..;..;..;..;..;93.7;;96.3;82.5;87.9;98.9;102.4;105.5;130.2;161.0;187.9;177.5;211.8;255.3;297.9;335.5;294.5;281.2;268.3;215.0;263.7;208.8;238.8;277.5;284.2;304.7;637.1;633.7;646.3;619.0;632.8;663.2;610.2;619.6;583.4;544.6;464.6;379.9;311.0;596.6;619.0;616.0;725.1;857.9;772.1;796.6;705.5;686.6;647.4;561.6;611.7;640.7;632.0;683.3;722.9;704.0;772.2;808.3;..
Georgia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,561.8;1,323.4;765.4;550.0;519.9;578.3;689.1;807.0;851.5;673.5;749.9;802.0;853.5;1,010.0;1,305.0;1,642.8;1,996.0;2,635.4;3,324.8;2,822.7;3,233.2;4,021.8;4,421.9;4,623.9;4,739.3;4,014.1;4,062.1;4,356.9;4,722.0;4,696.2;4,255.7;5,023.3;6,675.0;..
Germany;..;..;..;..;..;..;..;;..;..;..;2,761.2;3,192.1;3,810.0;5,046.8;5,639.1;6,236.4;6,634.9;7,683.0;9,482.0;11,281.0;12,138.3;10,209.1;9,913.7;9,864.3;9,313.2;9,429.6;13,461.8;16,677.5;17,931.3;17,764.4;22,304.0;23,357.8;26,438.2;25,522.6;27,076.6;31,658.3;30,485.9;26,964.0;27,289.1;26,734.9;23,694.8;23,628.3;25,197.3;30,310.4;34,106.7;34,520.2;36,353.9;41,640.1;45,612.7;41,650.4;41,572.5;46,705.9;43,855.9;46,298.9;48,023.9;41,103.3;42,136.1;44,652.6;47,939.3;46,805.1;46,749.5;51,426.8;48,718.0;..
Ghana;177.1;184.3;190.9;207.7;227.9;263.8;266.6;;212.9;198.0;227.3;249.9;266.5;226.0;313.2;291.8;275.2;263.1;294.6;328.1;349.1;374.6;345.7;320.7;312.5;330.7;330.0;410.5;354.6;354.3;348.9;381.2;416.8;395.0;358.6;319.6;370.7;388.5;377.2;399.8;402.5;253.4;263.2;297.0;357.8;405.4;477.6;904.2;1,047.2;1,179.0;1,044.0;1,259.0;1,501.1;1,536.6;2,282.4;1,942.9;1,711.3;1,900.4;1,998.7;2,180.0;2,167.9;2,176.6;2,422.1;2,203.6;..
Gibraltar;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Greece;520.3;590.8;617.1;695.2;783.7;899.3;997.4;;1,068.1;1,154.4;1,324.1;1,494.4;1,652.3;1,899.7;2,502.8;2,828.7;3,153.2;3,390.5;3,886.4;4,694.6;5,705.9;5,893.7;5,380.3;5,579.2;5,019.9;4,852.6;4,813.7;5,656.5;6,564.9;7,598.0;7,846.7;9,600.2;10,188.4;11,176.5;10,402.0;11,091.3;12,959.3;13,749.1;13,427.8;13,472.1;13,249.7;12,072.9;12,549.0;14,177.6;18,518.4;21,995.5;22,560.1;24,821.9;28,864.0;32,128.0;29,828.8;26,716.6;25,483.9;21,913.0;21,787.8;21,616.7;18,083.9;17,924.0;18,582.1;19,757.0;19,143.9;17,617.3;20,310.7;20,867.3;..
Greenland;..;..;..;..;..;..;..;;..;..;..;1,498.3;1,874.3;2,196.7;2,860.3;3,432.7;4,257.9;4,844.7;5,714.0;7,235.5;8,480.8;9,483.1;8,544.1;7,813.7;7,988.2;7,198.7;7,760.8;11,271.3;14,554.4;16,398.0;16,813.7;18,326.9;18,315.3;18,768.8;16,797.4;18,124.1;21,665.8;21,422.5;19,145.6;20,496.6;20,170.3;19,004.0;19,275.4;20,652.8;27,459.9;32,023.7;32,489.7;35,458.3;39,780.9;44,366.8;44,918.8;43,988.5;47,186.9;45,937.0;47,535.5;50,485.2;44,536.4;48,181.7;50,765.7;54,545.1;53,309.2;54,693.1;57,116.3;..;..
Grenada;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;742.2;921.8;1,073.5;1,169.4;1,214.6;1,299.4;1,342.5;1,460.9;1,667.7;1,859.3;2,137.3;2,366.5;2,694.2;2,807.7;3,014.9;3,069.7;3,032.2;3,151.1;3,288.2;3,499.5;3,715.7;4,198.7;4,512.2;4,840.7;4,821.8;4,992.4;5,435.2;5,470.6;6,308.7;6,295.3;6,790.6;7,343.4;6,810.4;6,761.0;6,775.7;6,900.8;7,205.3;7,726.4;8,379.6;8,849.5;9,309.3;9,574.3;9,887.9;8,437.5;9,010.5;9,689.1;..
Guam;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;20,878.1;21,844.1;23,590.9;25,621.8;25,735.5;26,686.8;28,277.4;29,335.3;30,011.2;30,087.7;31,642.1;32,318.9;33,483.9;34,522.4;35,052.8;35,663.0;35,902.7;37,752.6;34,780.9;35,904.9;..;..
Guatemala;252.8;253.2;261.2;280.1;279.9;278.8;283.2;;288.0;310.7;322.4;349.0;355.1;367.1;438.5;527.4;594.7;696.2;854.6;925.1;1,027.1;1,143.4;1,217.3;1,200.2;1,212.7;1,234.7;1,233.1;892.3;850.2;915.4;955.1;845.3;1,011.8;1,094.0;1,164.4;1,293.5;1,424.7;1,487.6;1,649.0;1,755.8;1,619.5;1,664.3;1,550.4;1,683.0;1,737.9;1,859.1;2,068.5;2,251.1;2,490.7;2,802.5;2,651.8;2,852.6;3,228.0;3,355.0;3,522.8;3,779.6;3,994.6;4,173.3;4,454.0;4,485.8;4,647.8;4,609.9;5,029.5;5,473.2;..
Guinea;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;351.8;350.7;398.9;396.3;419.7;455.7;480.8;465.4;465.9;494.6;503.6;482.4;449.0;423.4;359.3;335.0;343.9;392.9;405.7;321.3;452.3;658.0;712.1;670.3;667.3;644.5;708.0;757.7;774.6;756.4;720.5;843.5;944.4;1,043.9;1,073.7;1,189.2;1,515.2;..
Guinea-Bissau;..;..;..;..;..;..;..;;..;..;..;133.1;132.1;147.2;148.2;158.4;165.2;160.3;154.0;154.4;144.3;133.1;183.1;192.8;187.5;156.3;159.8;142.5;187.2;174.4;222.4;250.6;258.7;221.2;224.2;216.2;227.3;237.1;231.0;174.4;186.0;301.5;312.3;325.0;362.9;395.0;425.5;418.9;480.4;583.3;543.6;542.3;683.5;598.6;616.2;605.1;586.0;642.7;718.2;781.6;730.6;710.3;795.1;775.8;..
Guyana;297.6;315.8;322.3;283.2;306.3;327.9;344.8;;370.6;335.0;358.2;379.7;395.1;395.3;420.7;588.3;663.6;603.1;590.9;659.7;684.9;775.1;731.5;618.2;628.7;564.0;586.9;656.7;464.3;545.6;504.4;530.8;468.4;501.4;607.7;721.6;827.0;936.1;992.0;948.2;916.5;938.9;937.3;955.0;977.0;1,036.0;1,085.8;3,138.1;3,609.9;4,011.4;4,213.8;4,589.9;4,960.0;5,461.4;5,576.3;5,495.4;5,668.4;5,905.4;6,221.0;6,094.9;6,477.3;6,863.1;9,994.6;18,199.5;..
Haiti;70.0;68.2;69.6;71.5;77.5;82.6;84.8;;83.3;81.5;85.2;70.8;76.1;76.7;94.5;112.4;133.0;168.3;177.9;179.5;195.2;245.1;256.8;250.8;270.7;296.8;321.7;363.6;314.5;393.4;403.3;447.1;491.6;313.2;255.7;289.5;368.8;374.2;421.8;462.0;506.0;815.0;743.9;716.5;575.6;679.3;771.5;824.4;979.6;1,089.6;1,191.8;1,204.9;1,306.8;1,356.2;1,452.3;1,454.6;1,405.7;1,313.2;1,389.4;1,489.6;1,345.5;1,283.1;1,823.7;1,748.3;..
Honduras;161.5;166.5;176.0;180.9;195.8;211.6;222.2;;234.8;246.6;247.3;259.8;254.9;271.6;299.5;329.8;347.8;404.2;485.2;872.4;967.7;1,050.3;1,038.0;1,062.5;1,081.9;1,153.3;1,202.9;1,257.4;1,332.5;1,235.4;1,105.6;974.2;894.5;925.0;896.3;821.2;919.9;872.6;933.8;1,009.2;990.3;1,079.6;1,118.9;1,119.4;1,142.8;1,201.2;1,289.8;1,409.6;1,559.9;1,713.4;1,762.3;1,874.3;2,054.0;2,107.3;2,064.6;2,164.4;2,257.2;2,295.5;2,403.3;2,457.7;2,519.4;2,354.1;2,771.7;3,040.2;..
