 ;1960;1961;1962;1963;1964;1965;1966;;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Hong Kong SAR, China;424.1;436.8;487.8;565.7;629.6;676.8;685.9;;723.2;714.5;825.5;960.0;1,106.5;1,384.7;1,893.2;2,144.6;2,252.1;2,850.0;3,429.4;3,924.0;4,569.5;5,700.4;5,991.3;6,133.8;5,595.3;6,208.2;6,543.0;7,435.0;9,071.4;10,609.7;12,097.7;13,485.6;15,465.9;17,976.5;20,395.6;22,502.5;23,497.4;24,818.3;27,330.1;25,808.9;25,091.7;25,756.8;25,230.4;24,665.8;23,977.2;24,928.1;26,649.6;28,224.1;30,594.0;31,515.5;30,697.5;32,550.1;35,142.5;36,730.8;38,403.8;40,315.4;42,432.2;43,734.2;46,160.4;48,537.6;48,359.0;46,109.2;49,764.8;48,983.6;..
Hungary;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,350.3;3,735.1;3,874.0;4,173.4;4,494.7;4,525.0;4,596.2;4,744.2;4,793.5;4,624.3;5,276.0;6,655.3;8,419.4;10,301.7;11,223.4;11,489.6;13,940.9;15,772.3;13,077.3;13,217.5;14,234.5;12,984.8;13,715.1;14,294.3;12,717.0;13,104.7;14,621.2;16,425.2;16,786.2;16,125.6;18,753.0;18,390.2;..
Iceland;1,415.0;1,418.1;1,562.2;1,831.7;2,297.9;2,723.5;3,215.7;;3,125.6;2,354.5;2,039.2;2,576.4;3,252.1;4,014.8;5,437.3;7,040.6;6,454.2;7,583.3;9,957.3;11,236.7;12,640.6;14,821.8;15,137.3;13,711.7;11,671.8;11,959.5;12,361.2;16,406.0;22,453.2;24,452.0;22,434.3;25,384.9;26,803.0;27,124.3;23,579.8;24,018.6;26,633.6;27,614.9;27,919.2;31,030.1;32,381.6;32,096.4;28,897.4;32,409.2;39,476.7;47,334.9;56,794.9;57,492.9;69,495.7;56,943.4;41,301.3;43,237.1;47,714.6;45,995.5;49,805.0;54,576.7;52,951.7;61,987.9;72,010.1;74,452.2;68,452.2;58,848.4;68,710.2;73,466.8;..
India;83.0;86.0;90.3;101.3;115.5;119.1;89.8;;96.0;99.5;107.2;112.0;118.2;122.6;143.5;163.2;157.9;161.1;186.4;206.1;224.6;267.4;271.4;275.3;292.6;278.1;298.0;312.1;342.1;355.7;347.5;368.7;303.9;317.6;301.5;346.2;373.6;399.6;414.9;412.5;441.0;442.0;449.9;468.8;543.8;624.1;710.5;802.0;1,022.7;993.5;1,096.6;1,350.6;1,449.6;1,434.0;1,438.1;1,559.9;1,590.2;1,714.3;1,958.0;1,974.4;2,050.2;1,913.2;2,238.1;2,410.9;..
Indonesia;..;..;..;..;..;..;..;;53.3;64.8;74.3;79.4;78.9;90.5;130.5;201.7;232.2;277.1;332.3;364.3;355.2;489.2;563.8;580.8;510.4;522.7;514.4;472.7;440.4;479.8;527.8;582.7;629.2;679.0;824.1;907.5;1,020.1;1,129.1;1,054.3;459.2;663.5;770.9;739.0;888.9;1,052.4;1,136.8;1,249.4;1,572.8;1,840.3;2,144.4;2,239.1;3,094.4;3,613.8;3,668.2;3,602.9;3,476.6;3,322.6;3,558.8;3,839.8;3,902.7;4,151.2;3,895.6;4,334.2;4,788.0;..
Iran, Islamic Rep.;196.3;201.4;207.6;211.9;224.6;251.2;267.3;;289.1;320.9;352.5;385.8;469.1;569.7;874.1;1,448.8;1,575.8;2,011.0;2,311.0;2,166.9;2,429.6;2,449.7;2,482.9;2,963.5;3,551.5;3,556.5;3,812.1;4,274.8;2,651.5;2,361.4;2,246.2;2,237.1;..;..;1,066.7;1,197.6;1,586.0;1,954.7;1,823.3;1,737.7;1,765.8;1,672.0;1,902.9;1,910.5;2,259.5;2,751.8;3,226.6;3,736.2;4,838.0;5,623.9;5,602.6;6,458.6;8,201.6;8,329.0;6,280.7;5,757.5;4,990.9;5,497.2;5,758.6;3,850.8;3,276.8;2,746.4;4,084.2;4,669.6;..
Iraq;237.7;252.2;261.2;255.7;292.6;..;..;;..;316.4;317.4;334.4;380.6;391.5;472.3;1,024.3;1,158.5;1,479.6;1,599.8;1,853.6;2,857.6;3,850.3;2,688.7;2,929.4;2,731.7;3,052.5;3,073.9;2,926.9;3,420.5;3,690.1;3,774.2;10,216.6;22.9;30.1;53.5;197.1;615.5;482.2;929.9;894.3;1,548.3;1,963.7;1,422.8;1,254.2;809.8;1,314.8;1,740.7;2,253.5;3,099.6;4,504.5;3,686.4;4,430.4;5,736.9;6,437.5;6,612.9;6,216.0;4,416.9;4,305.2;4,725.2;5,601.5;5,621.2;4,251.3;4,770.8;5,937.2;..
Ireland;685.6;739.3;797.0;852.1;965.1;1,023.8;1,074.5;;1,152.0;1,124.5;1,291.3;1,486.5;1,703.9;2,080.5;2,424.3;2,516.9;2,973.4;2,919.6;3,427.1;4,400.0;5,430.0;6,372.4;5,986.2;6,160.6;5,915.2;5,692.0;6,011.7;8,112.2;9,581.9;10,715.9;11,175.8;14,031.3;14,087.2;15,714.4;14,657.1;15,902.9;19,158.5;20,835.9;22,551.1;24,294.9;26,338.1;26,334.6;28,282.4;32,705.4;41,203.5;47,754.2;50,933.0;54,329.2;61,396.4;61,353.1;52,133.1;48,663.6;52,219.7;48,943.8;51,497.0;55,752.8;62,179.3;62,784.1;70,150.7;79,446.9;80,848.3;85,973.1;102,001.8;103,983.3;..
Isle of Man;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;12,802.1;14,212.2;16,223.7;18,753.0;20,991.6;20,693.8;21,716.9;25,230.1;29,878.0;35,872.7;38,184.3;42,662.6;55,072.2;72,304.9;66,175.2;70,625.2;77,838.4;79,326.4;83,204.7;91,881.1;84,753.5;82,041.6;83,510.3;89,425.9;87,152.5;79,530.6;..;..;..
Israel;1,229.2;1,436.4;1,094.6;1,257.8;1,375.9;1,429.3;1,513.9;;1,468.1;1,647.9;1,852.4;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;18,916.7;20,117.0;20,366.6;20,106.6;19,742.5;21,630.7;20,909.4;19,035.1;19,627.2;20,557.1;21,223.9;22,494.6;25,633.6;30,173.4;28,317.0;31,266.6;34,354.7;33,156.2;36,941.8;38,259.7;36,206.5;37,690.5;41,114.8;42,406.8;44,452.2;44,846.8;52,129.5;54,930.9;..
Italy;804.5;887.3;990.3;1,126.0;1,222.5;1,304.5;1,402.4;;1,533.7;1,651.9;1,813.4;2,106.9;2,305.6;2,671.1;3,205.3;3,621.1;4,107.0;4,033.1;4,603.6;5,610.5;6,990.3;8,456.9;7,622.8;7,556.5;7,832.6;7,739.7;7,990.7;11,315.0;14,234.7;15,744.7;16,386.7;20,825.8;21,956.5;23,243.5;18,738.8;19,337.6;20,664.6;23,081.6;21,829.3;22,318.1;22,005.1;20,137.6;20,501.0;22,376.3;27,526.3;31,317.2;32,055.1;33,529.7;37,870.7;40,944.9;37,226.8;36,035.6;38,649.6;35,051.5;35,560.1;35,565.7;30,242.4;30,960.7;32,406.7;34,622.2;33,673.8;31,922.9;36,449.3;34,776.4;..
Jamaica;425.7;449.6;461.9;485.2;520.5;556.5;620.1;;641.1;598.1;649.3;755.6;816.4;979.0;979.7;1,202.7;1,428.0;1,461.5;1,581.4;1,271.1;1,151.0;1,254.7;1,374.9;1,497.3;1,621.0;1,048.4;916.3;1,189.4;1,407.0;1,625.8;1,856.0;1,919.8;1,702.5;1,452.2;2,212.3;2,194.9;2,621.2;2,919.1;3,287.7;3,410.4;3,423.0;3,447.3;3,502.2;3,683.9;3,557.2;3,819.3;4,200.4;4,435.6;4,738.4;5,056.3;4,452.1;4,835.8;5,259.9;5,365.2;5,143.7;4,991.6;5,077.6;5,022.7;5,273.1;5,594.5;5,626.2;4,897.3;5,183.6;6,047.2;..
Japan;475.3;568.9;639.6;724.7;843.6;928.5;1,068.6;;1,239.3;1,451.3;1,684.7;2,100.7;2,321.4;3,031.4;4,061.0;4,448.3;4,775.9;5,310.4;6,472.8;9,012.1;9,301.1;9,668.7;10,583.1;9,780.0;10,652.0;11,207.5;11,809.5;17,451.8;21,141.7;25,499.9;25,265.9;25,801.4;29,428.4;31,992.8;36,345.2;39,933.5;44,197.6;39,150.0;35,638.2;32,423.8;36,610.2;39,169.4;34,406.2;32,820.8;35,387.0;38,299.0;37,812.9;35,991.5;35,779.0;39,876.3;41,309.0;44,968.2;48,760.1;49,145.3;40,898.6;38,475.4;34,960.6;39,375.5;38,834.1;39,751.1;40,416.0;40,040.8;40,058.5;34,017.3;..
Jordan;..;..;..;..;..;548.5;561.1;;499.1;410.6;476.6;410.6;414.4;462.5;534.0;655.2;722.5;878.4;1,045.6;1,257.6;1,530.1;1,763.7;1,900.6;1,945.4;1,956.7;1,888.7;1,814.9;2,223.1;2,241.1;1,988.3;1,275.0;1,195.2;1,184.9;1,373.4;1,375.5;1,457.7;1,509.0;1,503.1;1,530.7;1,633.3;1,646.2;1,673.4;1,738.4;1,816.4;1,889.4;2,062.7;2,216.9;2,478.3;2,643.2;3,416.1;3,618.9;3,914.7;4,152.5;4,386.5;4,477.6;4,255.9;4,064.3;4,003.4;4,073.1;4,146.4;4,159.7;3,998.7;4,152.8;4,311.0;..
Kazakhstan;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1,647.4;1,514.9;1,515.7;1,429.1;1,316.2;1,288.2;1,350.3;1,445.5;1,468.7;1,130.1;1,229.0;1,490.9;1,658.0;2,068.1;2,874.3;3,771.3;5,291.6;6,771.4;8,458.0;7,165.2;9,070.5;11,634.0;12,386.7;13,890.6;12,807.3;10,510.8;7,714.8;9,247.6;9,812.6;9,812.6;9,121.6;10,373.8;11,492.0;..
Kenya;102.1;98.5;103.8;106.5;110.4;106.0;118.8;;120.8;127.5;132.1;139.8;149.5;171.0;196.6;224.9;238.7;246.4;308.3;351.5;399.1;448.8;408.3;369.4;330.9;330.2;315.4;359.1;381.7;386.4;370.0;370.1;340.8;332.9;226.5;273.5;336.6;436.2;462.4;483.7;430.4;411.8;408.4;401.1;441.4;462.6;522.8;699.4;840.2;916.0;1,049.1;1,093.6;1,099.3;1,289.8;1,376.8;1,489.9;1,496.7;1,562.1;1,676.0;1,845.8;1,970.1;1,936.3;2,069.7;2,099.3;..
Kiribati;..;..;..;..;..;..;..;;..;..;..;248.9;261.0;317.7;523.3;1,405.0;907.9;681.7;646.9;760.3;713.0;692.8;705.7;644.3;590.1;644.7;481.6;460.2;510.5;621.3;603.0;571.5;620.2;612.8;593.2;683.2;691.4;803.0;801.1;761.4;790.9;757.1;697.0;781.4;956.8;1,063.9;1,142.3;1,101.5;1,300.8;1,356.6;1,249.3;1,438.1;1,644.4;1,698.9;1,628.6;1,546.9;1,459.1;1,506.2;1,566.4;1,607.2;1,410.0;1,404.0;1,766.1;1,702.0;..
Korea, Dem. People's Rep.;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Korea, Rep.;158.3;93.8;106.2;146.3;123.6;108.7;133.5;;161.2;198.4;243.4;279.3;301.2;324.2;406.9;563.4;617.5;834.1;1,055.9;1,405.8;1,783.6;1,715.4;1,883.5;1,992.5;2,198.9;2,413.3;2,482.4;2,834.9;3,554.6;4,748.6;5,817.1;6,610.0;7,636.9;8,126.7;8,884.9;10,385.4;12,564.7;13,403.0;12,398.5;8,281.7;10,672.4;12,257.0;11,561.2;13,165.1;14,672.8;16,496.1;19,402.5;21,743.5;24,086.4;21,350.4;19,143.9;23,079.3;25,097.6;25,459.2;27,179.5;29,252.9;28,737.4;29,280.4;31,600.7;33,447.2;31,902.4;31,721.3;35,142.3;32,422.6;..
Kosovo;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,965.4;2,847.6;3,009.5;3,540.8;3,410.7;3,704.6;3,902.5;3,520.8;3,759.5;4,009.4;4,384.2;4,416.0;4,310.9;5,269.8;5,340.3;..
Kuwait;..;..;..;..;..;4,081.4;4,228.7;;3,930.2;3,909.5;3,726.8;3,579.6;4,518.7;4,870.4;5,573.1;12,622.9;10,969.7;11,235.8;11,335.1;11,664.9;17,524.4;19,170.9;15,929.8;13,054.0;12,022.3;11,962.7;11,353.2;9,097.1;10,919.7;9,717.6;11,001.7;11,002.1;8,219.5;12,253.6;14,478.0;15,141.3;16,425.0;18,488.8;17,230.1;14,258.4;16,044.5;19,493.9;17,517.7;18,626.8;22,781.1;27,601.4;36,145.0;42,970.7;45,729.8;55,595.5;37,906.2;39,212.6;49,010.3;51,271.1;47,762.8;43,239.8;29,315.2;27,026.7;29,258.3;32,012.2;30,666.2;24,297.7;32,324.8;41,079.5;..
Kyrgyz Republic;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;609.2;575.6;513.0;449.1;372.3;364.2;394.9;376.4;345.1;258.0;279.6;308.4;321.7;380.5;433.2;476.6;543.1;721.8;966.4;871.2;880.0;1,123.9;1,178.0;1,282.4;1,279.8;1,121.1;1,120.7;1,242.8;1,308.1;1,451.5;1,256.9;1,365.5;1,655.1;..
Lao PDR;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;482.7;632.5;461.7;274.6;147.0;170.3;200.6;231.7;247.3;283.4;321.1;357.9;371.5;339.2;244.0;272.4;318.8;320.4;313.6;355.7;410.3;467.4;581.0;699.0;887.6;936.8;1,127.8;1,363.7;1,566.0;1,815.4;1,984.5;2,125.5;2,309.0;2,439.5;2,553.4;2,598.5;2,593.4;2,535.6;2,054.4;..
Latvia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,329.6;2,431.7;2,683.2;2,973.5;3,151.6;3,361.6;3,578.0;4,136.9;5,145.2;6,378.7;7,594.9;9,723.4;14,113.5;16,467.1;12,331.9;11,421.0;13,339.0;13,847.3;15,007.5;15,742.4;13,786.5;14,331.8;15,695.1;17,865.0;17,883.3;18,096.2;20,930.4;21,779.5;..
Lebanon;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;958.5;771.0;789.9;1,279.2;1,560.2;2,079.6;2,468.8;2,959.6;3,393.5;3,834.9;4,127.3;4,092.0;3,994.9;4,021.2;4,307.1;4,458.1;4,625.3;4,630.0;4,666.0;5,162.0;5,957.7;7,149.8;7,695.2;7,914.1;8,500.2;8,255.2;7,665.4;7,802.8;8,172.3;8,679.9;9,225.8;8,925.4;5,600.0;4,136.1;..;..
Lesotho;46.9;46.9;53.3;58.1;62.3;63.8;63.9;;64.5;64.5;66.8;67.2;72.2;73.7;106.7;128.3;123.0;117.5;149.3;200.2;211.9;306.6;300.0;234.3;252.7;211.8;166.2;192.1;237.1;271.3;280.4;331.5;385.0;447.1;443.2;459.7;518.0;483.9;505.9;467.6;457.7;443.9;413.0;388.4;580.9;761.2;850.8;910.6;848.1;885.7;866.5;1,104.8;1,265.9;1,205.9;1,141.4;1,165.1;1,113.8;994.2;1,062.5;1,163.0;1,061.2;917.4;1,029.5;969.9;..
Liberia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;301.9;303.9;302.9;242.4;287.3;290.5;323.8;378.0;456.1;452.7;497.0;573.5;644.5;717.6;713.7;699.7;722.1;706.9;700.0;665.9;597.5;675.7;754.5;..
Libya;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6,821.9;7,368.0;7,623.9;6,745.9;6,164.3;5,396.4;5,785.1;6,262.5;5,471.1;7,112.7;7,424.4;6,465.6;3,789.2;4,738.8;5,823.6;8,108.1;10,060.4;11,158.1;13,921.9;9,560.8;11,611.4;7,784.1;15,765.4;12,589.5;9,408.8;7,867.5;7,945.0;10,529.1;11,838.3;10,542.4;7,034.7;5,909.0;6,716.1;..
Liechtenstein;..;..;..;..;..;..;..;;..;..;..;4,272.3;4,874.7;5,712.1;7,457.1;8,568.8;10,698.6;11,636.9;12,750.2;18,050.5;20,440.9;21,385.4;20,186.5;20,323.7;20,112.2;19,024.3;19,752.6;28,696.1;38,227.0;41,574.5;39,495.8;49,418.0;50,883.2;55,142.7;55,747.2;63,984.3;78,618.5;79,906.0;72,344.7;77,033.2;81,683.5;75,210.1;74,658.5;79,797.5;90,317.7;100,710.6;105,751.5;114,652.2;130,908.4;143,540.6;126,261.4;141,466.8;158,603.6;149,461.8;173,659.4;179,467.5;167,809.3;165,846.0;170,875.7;175,286.7;167,259.2;165,287.2;197,504.5;..;..
Lithuania;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,167.8;2,327.4;2,830.3;3,166.7;3,113.2;3,293.2;3,525.8;4,141.6;5,499.4;6,700.3;7,854.8;9,230.7;12,285.4;14,945.0;11,820.8;11,987.5;14,376.9;14,367.7;15,729.7;16,551.0;14,264.0;15,008.3;16,885.4;19,186.4;19,615.5;20,381.9;23,849.6;25,064.8;..
Luxembourg;2,242.0;2,222.4;2,311.8;2,441.0;2,755.6;2,780.1;2,900.4;;2,909.7;3,175.4;3,658.9;4,298.0;4,435.4;5,486.7;7,447.2;8,966.7;8,701.3;9,490.7;10,486.3;13,034.4;15,204.3;16,531.1;13,837.1;12,591.0;12,374.0;12,126.9;12,482.0;18,149.9;22,443.4;25,219.4;26,618.1;33,465.5;35,747.3;39,570.9;40,066.7;43,933.2;51,032.3;50,444.4;46,641.6;47,445.4;50,872.4;48,659.6;48,440.1;53,005.7;65,689.3;76,544.9;80,988.1;90,788.8;107,475.3;120,422.1;109,419.7;110,886.0;119,025.1;112,584.7;120,000.1;123,678.7;105,462.0;106,899.3;110,193.2;116,786.5;112,726.4;116,905.4;133,711.8;125,006.0;..
Macao SAR, China;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4,450.9;4,255.4;4,715.8;4,734.3;5,115.7;6,278.6;7,053.7;8,020.7;9,269.6;10,390.0;13,197.5;14,881.6;16,233.4;17,764.5;17,751.5;17,652.6;16,232.5;15,387.5;15,684.8;15,622.7;16,393.7;17,829.0;22,381.9;24,886.6;29,637.8;35,782.9;39,745.8;39,755.0;50,676.4;64,528.4;74,111.6;86,853.5;90,873.6;73,220.6;71,919.1;78,896.3;84,779.5;82,998.6;37,474.7;45,104.9;34,584.9;..
North Macedonia;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,299.0;2,424.9;1,207.5;1,343.3;1,795.6;2,372.5;2,327.7;1,959.6;1,875.8;1,915.4;1,861.9;1,823.0;1,989.1;2,440.5;2,795.9;3,072.7;3,363.0;4,079.4;4,841.3;4,584.7;4,577.7;5,098.1;4,728.3;5,241.1;5,495.7;4,861.6;5,149.6;5,450.5;6,108.7;6,070.4;5,965.5;6,778.6;6,591.5;..
Madagascar;132.7;134.3;138.4;138.5;142.5;144.2;151.7;;156.8;164.5;163.8;167.5;175.4;190.3;227.4;255.9;295.7;274.3;287.8;316.3;398.5;581.3;516.9;505.2;481.2;390.0;369.3;410.6;295.0;284.6;275.3;330.8;265.8;294.3;312.1;262.1;276.7;344.5;288.4;288.6;271.9;285.5;325.5;310.9;359.5;277.5;311.8;330.5;427.8;522.8;455.4;459.4;516.9;504.2;526.7;517.1;455.6;464.6;503.5;512.5;512.3;462.4;503.4;516.6;..
Malawi;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;287.4;276.3;253.1;252.2;239.5;215.9;217.8;207.5;229.4;252.2;286.9;326.2;258.9;293.8;169.7;201.1;322.0;368.7;237.4;235.5;226.0;217.2;431.7;386.3;407.6;417.1;443.5;478.0;557.5;630.1;688.1;769.1;563.1;501.2;534.1;544.3;454.4;500.2;537.9;584.4;622.2;633.6;645.2;..
Malaysia;244.6;235.5;240.4;292.6;302.7;325.2;336.6;;332.8;339.1;364.2;374.9;402.2;466.9;692.7;837.8;800.4;927.8;1,075.3;1,304.1;1,647.6;1,853.0;1,843.3;1,925.5;2,123.3;2,311.2;2,065.1;1,782.5;2,007.2;2,134.5;2,282.5;2,513.2;2,727.5;3,193.6;3,511.5;3,802.1;4,405.1;4,874.8;4,706.3;3,308.8;3,538.4;4,087.6;3,941.1;4,177.1;4,454.5;4,924.3;5,536.8;6,137.2;7,144.0;8,343.3;7,167.9;8,880.1;10,209.4;10,601.5;10,727.7;11,045.6;9,699.6;9,555.7;9,979.7;11,074.0;11,132.1;10,164.3;11,134.6;11,993.2;..
Maldives;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;257.5;263.9;274.5;322.5;593.9;668.1;719.4;691.4;798.0;869.6;955.9;1,052.8;1,191.3;1,311.5;1,411.6;1,545.2;1,707.0;1,889.0;1,972.6;2,118.7;2,210.0;3,028.1;3,069.0;3,539.8;4,060.5;3,789.2;5,010.2;5,746.6;6,743.1;6,719.3;7,158.1;7,409.3;7,447.4;8,222.6;8,872.1;9,480.4;9,708.1;10,194.7;11,034.7;11,349.9;7,216.8;10,076.3;11,780.8;..
Mali;..;..;..;..;..;..;..;;46.8;57.5;56.1;58.5;63.3;76.7;87.3;82.0;124.2;138.0;151.4;172.9;221.0;238.7;204.3;173.3;165.0;153.5;170.0;222.2;246.7;251.7;248.7;299.8;298.6;304.0;296.5;214.4;272.8;274.4;260.4;275.0;315.2;263.5;299.4;327.0;381.9;427.7;474.0;506.9;579.3;676.1;680.6;688.3;810.2;753.4;778.8;818.4;723.5;750.1;795.7;856.4;840.2;822.9;881.5;833.3;..
Malta;..;..;..;..;..;..;..;;..;..;..;828.4;874.1;975.8;1,143.6;1,245.4;1,560.1;1,726.6;2,037.9;2,558.7;3,195.6;3,948.4;3,898.2;3,788.1;3,527.0;3,332.9;3,322.4;4,194.7;5,083.7;5,814.4;6,040.6;7,191.9;7,558.3;8,220.2;7,296.3;8,000.5;9,171.1;9,438.6;9,724.3;10,273.5;10,720.9;10,432.3;10,402.2;11,289.9;13,669.5;15,197.1;15,888.2;16,723.9;19,485.9;22,205.4;21,083.3;21,798.9;23,155.1;22,526.5;24,769.6;26,753.3;24,921.7;25,623.9;28,813.2;31,785.9;31,727.0;29,597.6;34,881.3;34,127.5;..
Marshall Islands;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;933.8;1,010.1;1,160.5;1,205.9;1,126.2;1,381.5;1,495.3;1,618.1;1,618.2;1,704.3;1,753.5;1,896.6;2,032.1;2,168.4;2,371.3;2,151.0;2,114.4;2,111.9;2,123.7;2,127.2;2,257.3;2,417.4;2,411.3;2,442.1;2,533.6;2,633.3;2,773.4;2,712.4;2,810.5;3,001.3;3,238.9;3,445.3;3,611.7;3,672.7;3,703.6;4,153.1;4,507.6;4,771.4;5,186.8;5,545.6;6,130.4;6,225.2;..
Mauritania;..;184.8;185.4;184.6;239.4;264.4;268.0;;275.7;294.8;271.0;275.7;290.2;328.8;401.9;484.8;540.0;577.7;578.5;565.9;650.4;695.5;712.4;693.7;707.7;633.6;578.2;660.0;726.4;742.4;742.0;751.2;1,032.6;1,007.8;825.8;840.1;878.8;877.8;834.0;796.8;757.8;660.3;632.2;629.8;711.4;801.8;974.7;1,272.1;1,378.2;1,610.2;1,418.9;1,646.1;1,919.5;1,850.4;1,929.8;1,715.4;1,562.7;1,579.2;1,634.6;1,750.0;1,800.9;1,836.3;1,998.4;2,065.2;..
Mauritius;..;..;..;..;..;..;..;;..;..;..;..;..;..;..;..;..;776.6;893.9;1,087.7;1,275.0;1,171.6;1,165.2;1,086.5;1,088.4;1,028.0;1,054.5;1,422.6;1,815.3;2,046.0;2,075.5;2,506.2;2,669.3;2,973.2;2,973.8;3,197.3;3,599.6;3,899.4;3,646.6;3,593.2;3,695.9;3,929.1;3,856.6;4,018.9;4,793.7;5,388.1;5,282.9;5,696.0;6,574.7;8,030.1;7,318.1;8,000.4;9,197.0;9,291.2;9,764.6;10,366.4;9,507.9;9,965.7;10,841.7;11,643.5;11,403.3;9,011.0;9,069.0;10,256.2;..
Mexico;359.5;378.2;392.9;424.2;485.8;511.0;550.5;;581.7;622.4;666.7;706.3;755.3;844.2;1,000.9;1,264.4;1,499.4;1,470.2;1,315.6;1,600.8;2,039.2;3,036.4;3,810.2;2,612.7;2,166.6;2,506.9;2,607.7;1,765.3;1,902.5;2,302.0;2,759.5;3,196.9;3,756.9;4,272.8;6,118.5;6,268.7;4,225.4;4,718.6;5,617.4;5,882.4;6,552.7;7,581.8;8,009.2;8,033.0;7,473.9;7,883.5;8,702.1;9,545.3;10,178.4;10,590.0;8,495.7;9,823.2;10,766.6;10,842.7;11,317.5;11,490.0;10,098.2;9,152.7;9,693.3;10,130.3;10,434.6;8,894.9;10,359.1;11,496.5;..
